iter	Logloss
0	0.688698642
1	0.6863918538
2	0.6839128542
3	0.6816327884
4	0.6789221472
5	0.677516551
6	0.675629364
7	0.6732856617
8	0.6722486098
9	0.6706518351
10	0.6692315396
11	0.6681063711
12	0.6670937625
13	0.6661313051
14	0.6645857255
15	0.6636987959
16	0.6626609349
17	0.6614449645
18	0.660234057
19	0.6596064987
20	0.6586788181
21	0.6576689879
22	0.6565572888
23	0.6558200043
24	0.6551747364
25	0.6543729486
26	0.6536567926
27	0.6529422801
28	0.652098658
29	0.651366161
30	0.6511519358
31	0.6504364317
32	0.6498756311
33	0.649289892
34	0.6485131767
35	0.6477890113
36	0.6474121775
37	0.6468907698
38	0.6461120786
39	0.6453460979
40	0.6450061006
41	0.644782988
42	0.6445138482
43	0.644098689
44	0.6437379963
45	0.6431612097
46	0.6428421197
47	0.6422479152
48	0.6419868473
49	0.6416121925
50	0.6411858917
51	0.6406773716
52	0.6402912257
53	0.6401172913
54	0.6396999748
55	0.6393594417
56	0.6389715025
57	0.6383896455
58	0.638043497
59	0.637880874
60	0.6375260381
61	0.6373781945
62	0.6370051969
63	0.6366985749
64	0.6362020307
65	0.6357148098
66	0.635341193
67	0.6350842216
68	0.6346687106
69	0.6343847442
70	0.633767437
71	0.6333377381
72	0.6330105575
73	0.6326526396
74	0.63229902
75	0.6318158901
76	0.631528202
77	0.6310565773
78	0.6306419439
79	0.6302861007
80	0.6299419307
81	0.6297599927
82	0.6295019881
83	0.6291163426
84	0.628960074
85	0.6287073104
86	0.628468077
87	0.6280053136
88	0.6278039121
89	0.6275243102
90	0.6272584536
91	0.6269932291
92	0.6267970596
93	0.6266560393
94	0.626354368
95	0.6260628372
96	0.6258739649
97	0.625435313
98	0.6252054774
99	0.6247149107
100	0.6245001681
101	0.6240208907
102	0.6237814468
103	0.6232620533
104	0.6229758659
105	0.6224854572
106	0.6220587459
107	0.6215136644
108	0.6211333543
109	0.6208619473
110	0.620398587
111	0.6199773044
112	0.6195279789
113	0.6193177337
114	0.6188866847
115	0.6187172913
116	0.6182441086
117	0.6179726692
118	0.617586471
119	0.617190768
120	0.6166614175
121	0.6161601789
122	0.615795382
123	0.6154389793
124	0.6150439419
125	0.6146775422
126	0.6142715306
127	0.6139656803
128	0.6135249345
129	0.61309111
130	0.6127310763
131	0.6119390205
132	0.6115625169
133	0.6111953942
134	0.6108766155
135	0.6105470599
136	0.6101116292
137	0.6096873851
138	0.6094771773
139	0.6090078841
140	0.6086642408
141	0.6083498613
142	0.607938222
143	0.6072503266
144	0.6069309007
145	0.6064582252
146	0.6059631352
147	0.6056388353
148	0.6053264463
149	0.6048903471
150	0.6042489196
151	0.6038627375
152	0.6035724986
153	0.6032834859
154	0.6029393331
155	0.6024867471
156	0.602204941
157	0.6020602491
158	0.6016720613
159	0.6013852809
160	0.6009816561
161	0.6007522909
162	0.6005382506
163	0.6003916694
164	0.6001373029
165	0.5997565514
166	0.5995128613
167	0.5991784338
168	0.5988938437
169	0.598633086
170	0.5981459184
171	0.5978630906
172	0.5975747838
173	0.5974006533
174	0.5970504003
175	0.5967149842
176	0.5963321729
177	0.5959307879
178	0.5955384256
179	0.5951834355
180	0.595064071
181	0.5949125996
182	0.594755816
183	0.5943229061
184	0.5940778446
185	0.5938809281
186	0.5936149875
187	0.5933101855
188	0.5931459608
189	0.5930110303
190	0.5923602198
191	0.5922283752
192	0.5920337979
193	0.5917843045
194	0.591543155
195	0.5912503461
196	0.5909246668
197	0.5905832155
198	0.5903197729
199	0.5901776572
